id,Original_id,Sel_r,Sel_g,Sel_b,sex,Ori_r,Ori_g,Ori_b,Sel_hue,Sel_sat,Sel_bri,Ori_hue,Ori_sat,Ori_bri,Bri_sub,bri_sub_order,Sat_sub,sat_sub_order
128,154,250.04637,178.8486,166.61397,2,215.58928,151.32153,135.57736,6.0714283,85.68,250,8.499999,94.88372,215,-35,18,9.20372,152
129,155,231.12405,167.99757,159.40884,1,211.57242,152.76517,145.39037,4.722222,79.480515,231,4.5075765,79.76303,211,-20,61,0.282515,97
130,156,217.30257,147.75,144.88644,1,204.7295,134.84117,135.20663,1.7465763,85.78341,217,254.39285,87.5,204,-13,94,1.71659,108
131,157,217.18245,145.10486,135.82208,1,202.53198,143.17397,131.83919,5.182927,96.35944,217,7.183099,89.628716,202,-15,87,-6.730724,59
132,158,225.5929,171.39589,169.6906,1,213.31078,154.29256,151.17152,1.5178565,63.466667,225,2.0564523,74.22536,213,-12,98,10.758693,161
133,159,250.82375,170.39827,170.42975,1,222.33063,155.3908,151.75632,0,81.6,250,2.3943655,81.554054,222,-28,39,-0.045946,93
134,160,226.72119,167.7813,155.40738,1,207.31331,147.0899,134.97064,7.183099,80.11063,226,7.5684924,89.927536,207,-19,66,9.816906,159
135,161,221.94731,148.94446,127.21465,2,221.50874,161.6652,138.60233,9.494679,108.46154,221,11.777108,95.76923,221,0,139,-12.69231,42
136,162,218.72144,147.57916,138.03296,1,196.44594,131.2422,122.83814,4.7812505,93.57798,218,5.168918,96.27551,196,-22,57,2.69753,115
137,164,245.76733,179.79974,168.0471,1,227.56389,166.4553,155.357,6.0714283,80.14286,245,6.493056,80.88106,227,-18,72,0.7382,102
138,165,198.24353,122.1956,127.214096,2,193.23569,126.27482,126.17083,252.20395,97.87879,198,0,88.523315,193,-5,124,-9.355475,51
139,166,218.85481,150.71101,144.86067,1,183.95721,123.00626,119.052055,3.4459465,86.55964,218,2.65625,89.18033,183,-35,19,2.62069,113
140,167,184.07492,128.50754,126.81069,1,209.75989,143.5182,143.17839,1.4655181,80.38044,184,0,80.52631,209,25,178,0.14587,96
141,168,231.71616,164.06702,155.55763,1,206.47934,143.72745,139.64919,5.032896,83.8961,231,2.537314,82.9369,206,-25,45,-0.9592,85
142,169,183.90233,138.09344,130.3725,1,222.71579,165.78986,161.61093,6.4150944,73.852455,183,2.7868845,70.067566,222,39,184,-3.784889,73
143,170,197.74013,135.83351,110.33212,2,188.92816,128.60152,108.746925,12.212644,112.61421,197,10.625,108.51064,188,-9,114,-4.10357,71
144,171,222.35382,149.72606,146.1601,2,207.67342,147.54794,141.55609,1.6776328,87.2973,222,3.8636353,81.30435,207,-15,88,-5.99295,64
145,172,221.128,159.196,146.034,2,220.66447,159.13673,143.9958,7.3666673,86.53847,221,8.83117,89.25,220,-1,136,2.71153,116
146,173,107.6405,62.59999,61.912674,1,111.95811,72.07265,71.21251,0.9239128,109.62617,107,1.062499,91.89189,111,4,155,-17.73428,31
147,174,207.11513,147.57439,142.09332,2,196.63046,141.87224,135.75536,3.2692306,80.072464,207,4.180328,79.36224,196,-11,102,-0.710224,88
148,175,242.34984,158.3772,154.51848,2,197.74362,131.04518,124.70293,1.9318188,92.72727,242,4.075342,94.492386,197,-45,7,1.765116,109
149,176,207.04825,143.82515,143.90189,2,210.61551,148.677,145.86414,0,78.840576,207,1.9615383,78.92857,210,3,147,0.087994,95
150,177,246.69809,196.57765,189.75581,2,222.61043,174.08586,165.62491,5.219299,59.085365,246,6.710526,65.47297,222,-24,50,6.387605,135
151,178,234.96786,156.67769,143.08142,1,231.58005,165.42293,152.60992,6.0714283,99.16667,234,6.9936714,87.207794,231,-3,129,-11.958876,43
152,179,243.97534,180.23705,180.63745,1,204.14688,149.55576,147.79803,0,66.11111,243,1.4912275,71.25,204,-39,12,5.13889,130
153,180,232.92068,158.91917,135.81432,1,170.42197,112.85706,96.08784,10.07732,106.61638,232,9.189188,111,170,-62,0,4.38362,126
154,181,185.17111,116.76165,106.22207,2,169.195,105.15292,96.509544,5.379746,108.89189,185,5.2397265,110.14793,169,-16,81,1.25604,105
155,182,186.72072,110.17624,103.239265,2,189.5313,124.78801,113.35628,3.5843375,113.79032,186,6.151315,102.53968,189,3,148,-11.25064,48
156,183,202.2982,144.73816,129.9456,2,202.48291,140.81427,122.697525,8.732877,92.153465,202,9.562501,100.9901,202,0,140,8.836635,148
157,184,232.3006,161.00146,147.7199,1,217.9638,151.76051,141.94594,6.9999995,93.42673,232,5.5921044,89.30876,217,-15,89,-4.11797,70
158,185,227.28574,173.22934,145.09239,2,230.03535,193.75682,164.1148,14.512194,92.11453,227,18.674242,73.17391,230,3,149,-18.94062,28
159,186,219.80748,152.19763,154.52052,1,208.2113,140.36024,141.48047,253.73134,78.013695,219,254.375,83.36539,208,-11,103,5.351695,131
160,187,236.37758,160.21889,148.37306,2,204.55936,144.31879,129.26695,5.795454,95.08475,236,8.499999,93.75,204,-32,25,-1.33475,84
161,188,226.9967,152.57768,155.94588,1,226.07018,156.87206,157.2178,253.27702,83.495575,226,254.39285,78.9823,226,0,141,-4.513275,69
162,189,240.57927,171.25728,152.11981,1,183.15002,123.80967,108.163025,9.176135,93.5,240,8.499999,104.508194,183,-57,3,11.008194,164
163,190,187.72069,122.70581,110.15675,1,204.82193,133.6118,118.3554,6.623377,105,187,7.4127917,107.5,204,17,171,2.5,111
164,191,218.36122,152.56241,135.09381,2,213.11172,144.09984,127.45517,8.704819,97.08715,218,8.401162,102.95775,213,-5,125,5.8706,133
165,192,215.13167,143.66382,131.59543,1,168.90569,108.96617,96.07116,6.0714283,99.62791,215,7.0833344,109.28571,168,-47,5,9.6578,155
166,193,244.58871,170.2782,169.54346,1,215.06116,150.34102,145.82578,0.5666661,78.38114,244,3.0357153,83.023254,215,-29,36,4.642114,127
167,194,248.98543,178.94937,180.67036,1,226.4564,161.81923,163.87283,253.7857,71.97581,248,253.6923,73.340706,226,-22,58,1.364896,106
168,195,229.44682,155.30109,144.63124,1,189.73561,131.75655,120.987625,5.4999995,94.65066,229,6.7753634,93.09524,189,-40,11,-1.55542,82
169,196,229.69101,147.46548,149.57982,1,216.8622,146.96278,145.14005,253.96341,91.31004,229,0.59859204,83.81944,216,-13,95,-7.4906,57
170,197,181.47537,117.32093,110.175156,1,145.38852,93.20055,86.230095,4.1901417,100.027626,181,5.0423727,103.75862,145,-36,17,3.730994,120
171,198,226.11766,150.609,133.94829,1,206.07219,134.48018,121.2229,7.7688174,104.933624,226,6.4999995,105.218445,206,-20,62,0.284821,98
172,199,240.16081,175.13335,160.62999,2,219.23451,153.35689,137.08293,7.96875,85,240,8.292683,95.479454,219,-21,60,10.479454,160
173,200,223.98,150.80109,143.53583,1,212.82823,149.11012,145.21712,3.718749,91.47982,223,2.537314,80.58962,212,-11,104,-10.8902,49
174,201,244.57022,180.90454,170.96391,1,221.86212,160.02513,148.89993,5.7432423,77.33607,244,6.986303,84.230774,221,-23,54,6.894704,139
175,202,164.491,112.190865,96.34139,1,206.87625,146.43607,127.159294,9.999999,105.731705,164,10.221519,97.79127,206,42,186,-7.940435,55
176,203,237.95628,198.83371,216.71208,2,234.07228,215.60078,226.12305,235.38461,41.962025,237,230.39474,20.70513,234,-3,130,-21.256895,20
177,204,224.59439,170.13353,182.67659,2,210.0931,159.70105,174.61469,245.55556,61.473217,224,242.50002,61.92857,210,-14,92,0.455353,100
178,206,215.33861,144.64442,124.48468,2,178.57674,119.3613,103.32464,9.340659,107.93023,215,9.066666,107.44382,178,-37,15,-0.48641,90
179,207,196.42122,147.64717,137.97684,2,210.69121,151.56717,137.73535,7.2033896,76.76021,196,8.150684,88.64286,210,14,166,11.88265,165
180,208,228.74284,157.5833,145.32596,2,195.97725,131.2462,117.02393,6.1445794,92.82895,228,7.628205,102,195,-33,22,9.17105,151
181,209,247.13838,180.67178,176.51256,2,215.27481,162.10751,155.62074,2.3943655,73.29959,247,4.9583335,71.162796,215,-32,26,-2.136794,80
182,210,202.58159,140.18633,137.59048,1,215.45,155.57335,150.5404,1.9615383,82.05445,202,3.2692306,77.093025,215,13,165,-4.961425,66
183,211,180.86906,118.32152,98.7451,2,171.74232,116.78042,98.11751,10.365854,116.166664,180,10.479453,108.85965,171,-9,115,-7.307014,58
184,212,244.30258,167.23439,156.11128,2,203.01158,135.45229,122.00797,5.3125,91.96721,244,6.8209887,101.748764,203,-41,10,9.781554,157
185,213,239.69278,157.99841,150.78741,2,222.74486,157.15442,145.54488,3.3426957,94.95816,239,6.623377,88.445946,222,-17,76,-6.512214,60
186,214,239.98604,169.66158,159.76633,2,220.2455,159.34937,146.40982,5.3125,85.35565,239,7.466217,85.77273,220,-19,67,0.41708,99
187,215,227.05688,162.39363,146.83083,1,202.48842,143.92432,130.31546,8.3950615,90.99119,227,7.673612,90.89109,202,-25,46,-0.1001,92
